name,track_number,acousticness,danceability,energy,liveness,loudness,tempo,valence,duration,taylors_version,performed_live,not_first_release,low_instrumentalness,medium_instrumentalness,spoken_section,Lover,Fearless (Taylor's Version),Speak Now (Taylor's Version),Red (Taylor's Version),folklore,reputation Stadium Tour Surprise Song Playlist,1989 (Taylor's Version),Speak Now World Tour Live,Red,Midnights,Fearless,Speak Now,1989,evermore,Taylor Swift,Live From Clear Channel Stripped 2008,reputation
seven,0.13333333333333333,-0.11714220408114108,0.5489296636085627,0.4519230769230769,-5.163294465184392,0.3640454253267624,0.19269760867849534,0.3716872791519435,0.13388628131764507,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Out Of The Woods (Taylor's Version),0.06666666666666667,-3.5398622486361258,0.46483180428134563,0.9218750000000001,-1.246691253890564,0.7105921005642454,0.17143902596517413,0.17071554770318023,0.19152575065903688,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Dear John,0.08888888888888889,-1.465191777648494,0.529051987767584,0.4230769230769231,-4.359682240480892,0.7563745446753803,0.3679822641861399,0.07133392226148409,0.5518420883430851,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Is It Over Now? (Taylor's Version) (From The Vault),0.4444444444444444,-2.1471738730267034,0.5397553516819571,0.6490384615384616,-3.936659197019867,0.6116705949575031,0.22897997546258764,0.15304770318021202,0.17797423862491699,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
So It Goes...,0.26666666666666666,-1.660067375584219,0.5061162079510703,0.5913461538461539,-3.8613669703238536,0.6161702735518891,0.049218318398036996,0.3716872791519435,0.17460725690649181,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
the last great american dynasty,0.044444444444444446,-0.6972361666050397,0.6773700305810398,0.653846153846154,-4.455116654000799,0.5288907935147489,0.5727189892308023,0.7382950530035336,0.18123620309050772,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),0.4666666666666667,-1.4811453215086388,0.6376146788990826,0.8401442307692307,-6.463128319476132,0.68859367188058,0.48676629908379315,0.7471289752650176,0.2810926080713261,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ME! (feat. Brendon Urie of Panic! At The Disco),0.3333333333333333,-2.3470316578286377,0.5611620795107033,0.8557692307692307,-4.180352536509433,0.8431540604242554,0.8183801003020541,0.7625883392226148,0.09979639512205576,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22 (Taylor's Version),0.1111111111111111,-3.5638798916259224,0.6100917431192661,0.6935096153846154,-5.913805584935347,0.7349475037497322,0.25747781229596994,0.6676236749116609,0.18115261793008855,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Red - Original Demo Recording,0.4444444444444444,-1.706408939817937,0.6651376146788991,0.9423076923076924,-6.099939208708874,0.8035854581815586,0.40824657947036497,0.6621024734982333,0.17112239867978313,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
How You Get The Girl (Taylor's Version),0.2,-3.258592377163476,0.7813455657492354,0.6778846153846155,-4.998251631440961,0.7228769373616171,0.3725812353367437,0.5627208480565372,0.21667202468977045,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Midnight Rain,0.1111111111111111,-0.355356921736657,0.6116207951070336,0.29447115384615385,-4.268180349116596,0.2979787158060139,0.5149125765000466,0.2126766784452297,0.06075140916007632,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Welcome To New York,0.4666666666666667,-2.3230434756125886,0.8348623853211009,0.6201923076923077,-1.717874243501442,0.7962288407970859,0.3508060755207026,0.6852915194346291,0.14180329625581345,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
the last great american dynasty - the long pond studio sessions,0.044444444444444446,-0.2869350783821194,0.6070336391437309,0.6009615384615384,-7.198136466962917,0.29962145561031356,0.5729055309623401,0.6367049469964665,0.18412310593883283,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
I Wish You Would,0.13333333333333333,-2.6506087114054493,0.6269113149847095,0.9314903846153847,-4.6947432201855746,0.7102349832154846,0.35828926882815915,0.5251766784452297,0.1307443365695793,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ours (Taylor’s Version),0.3111111111111111,-0.7299557569514366,0.4464831804281346,0.4447115384615385,-4.3910432849941055,0.5463181201342762,0.6580331326813937,0.34297703180212014,0.19153218028676142,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Clean,0.26666666666666666,-1.2096287966433679,0.8669724770642202,0.31370192307692313,-4.3287579296955,0.5813156203128348,0.25745628825002326,0.20163427561837455,0.2669667159604793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Style (Taylor's Version),0.044444444444444446,-3.573290666770671,0.5076452599388378,0.8485576923076923,-5.167673403312339,0.7918720091422041,0.1928124035902109,0.28113957597173145,0.18123834629974925,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Say Don't Go (Taylor's Version) (From The Vault),0.37777777777777777,-2.0091529612211056,0.5963302752293578,0.5204326923076924,-3.936659197019867,0.5437468752231983,0.3002819650019013,0.13979681978798586,0.28589768319081,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
seven,0.13333333333333333,-0.10406782682657009,0.5397553516819571,0.4447115384615385,-5.128535410712375,0.36718805799585746,0.19248954290101095,0.4169611307420495,0.13388628131764507,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Maroon,0.022222222222222223,-2.051233254388815,0.6223241590214067,0.3353365384615385,-5.21635081694378,0.548032283408328,0.2866859426455923,0.0008833922261484046,0.15395529265522195,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
