name,album,track_number,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity,duration,taylors_version,performed_live,not_first_release,low_instrumentalness,medium_instrumentalness,spoken_section,Midnights,Lover,reputation,Red (Taylor's Version),folklore,Speak Now (Taylor's Version),Fearless (Taylor's Version),Live From Clear Channel Stripped 2008,Speak Now,Fearless,1989,Taylor Swift,1989 (Taylor's Version),Red,evermore,Speak Now World Tour Live,reputation Stadium Tour Surprise Song Playlist
I Wish You Would (Taylor's Version),1989 (Taylor's Version),2.772997332782901,-3.057662913367607,0.6513761467889909,0.8810096153846154,-6.711202261001829,0.6702378401542748,0.3545564937047741,0.5560954063604241,0.75,0.23481189113072962,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bad Blood (Taylor's Version),1989 (Taylor's Version),3.0403220100313733,-2.245008881043445,0.5749235474006116,0.6826923076923078,-1.7169530021574735,0.681451324905364,0.723230200041187,0.36064487632508835,0.75,0.2413297770932079,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Wildest Dreams (Taylor's Version),1989 (Taylor's Version),3.2865561462399002,-2.215317290124187,0.5168195718654434,0.6658653846153847,-4.334096849697363,0.6067423755446041,0.5110317353235668,0.5262809187279153,0.8,0.2589410936382187,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
How You Get The Girl (Taylor's Version),1989 (Taylor's Version),3.515456451645638,-3.184069389712618,0.7813455657492354,0.6778846153846155,-5.205437838267802,0.7228769373616171,0.3687660221131791,0.5627208480565372,0.72,0.31009507845813206,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
This Love (Taylor’s Version),1989 (Taylor's Version),3.7298094704994864,-1.0453332855517778,0.35321100917431186,0.4723557692307693,-6.733551769616181,0.510249267909435,0.5391596423828832,0.02340989399293286,0.73,0.3149405500091549,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
I Know Places (Taylor's Version),1989 (Taylor's Version),3.9317461882290177,-1.8383452037957877,0.5076452599388378,0.8233173076923078,-5.077449338419023,0.7511606313834726,0.6528997805724996,0.7095848056537103,0.72,0.21225506018615523,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Clean (Taylor's Version),1989 (Taylor's Version),4.122937206008276,-1.1043250531602113,0.8073394495412844,0.32211538461538464,-4.24451685105455,0.49946432397685886,0.2546708232436923,0.2226148409893993,0.76,0.3543914091507118,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Wonderland (Taylor's Version),1989 (Taylor's Version),4.304719440836713,-2.7848680990717147,0.33486238532110096,0.7091346153846154,-2.7341032067916125,0.7098778658667239,0.8217098302099828,0.3308303886925796,0.72,0.30638216745662766,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
You Are In Love (Taylor's Version),1989 (Taylor's Version),4.478181504542924,-0.4670298425072429,0.44954128440366975,0.453125,-4.524664581311816,0.4638240125705307,0.11966255032985135,0.5019876325088339,0.73,0.3475752822435271,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
New Romantics (Taylor's Version),1989 (Taylor's Version),4.6442230681944086,-2.8818567879552948,0.6238532110091743,0.8858173076923077,-6.1497393231458615,0.7107349475037498,0.3826346922689087,0.7294611307420494,0.78,0.2773338769623971,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
